部門	國碼	店內碼	品名
A15	4716349099150 		食器清潔墊 2入組
A16	4710201511019 		彎彎沐浴乳2000ML-水嫩
A09	4710186184123 		白鴿防霉洗衣精3500g
A01	4710032501326 		嬌生嬰兒油蘆薈&維他命E 125ML
A09	4710731050163 		花仙子克潮靈除濕劑210g-4入玫瑰香
A15	4710552068309 		楓康吳羽鋁箔紙7M
A16	4710186051227 		澎澎香浴乳(清爽)1500ml
A16	4710186051234 		澎澎香浴乳(滋潤)1500ml
A16	4710186051241 		澎澎香浴乳(保濕)1500ml
A02	4710333164022 		WHITIA眼部卸粧液 50ml
A02	4901455150370 		日本栗原修眉刀 SML-P15
A02	4901455150387 		日本栗原修眉刀 SMT-P15
A09	4710731060018 		克潮靈環保型除濕桶350g-玫瑰
A09	4710731060124 		克潮靈環保除濕桶補充包350g*3入玫瑰香
A15	4710731070154 		驅塵氏乾濕拖
A12	87108019 		mentos曼陀珠37.8g-白薄荷
A12	87108026 		mentos曼陀珠37.8g-綜合
A12	73390000516 		mentos曼陀珠37.8g-葡萄
A02	4718257000167 		洗臉海綿(大)KH6186
A12	4710311012314 		台糖晶冰糖500g
A12	4710311107034 		台糖棒型細砂8g-50支
A01	4710982020014 		奈森凡士林4oz
A01	4710363047005 		MEN'S Biore男性專用妙鼻貼(加大尺寸)10片
A01	4710363087001 		MEN'S Biore男性專用深層柔珠洗面乳100g
A02	4973167002988 		媚點 除光液120ml
A15	4715922510099 		彎型輕石
A07	4713519110301 		P11130(黑)機車手套
A09	8850163100220 		Durex薄型衛生套12入
A09	4710312020219 		新必安住除蹣殺蟲劑600ml
A12	40144016 		STORCK道地的偉特鮮奶油條糖50g
A01	4901301032362 		Biore 高防曬乳液 SPF48 50ml
A09	4710494050158 		白人兒童牙膏3色3入
A12	4710126042667 		義美寶吉QQ糖隨手包50g-葡萄
A12	4710126021006 		義美小泡芙57g-巧克力
A12	4710126021013 		義美小泡芙57g-草莓
A12	4710126021020 		義美小泡芙57g-牛奶
A12	4710126010086 		義美煎餅96g-海苔
A12	4710632001356 		悅氏礦泉水1.5L
A12	2100001956097 		泰山純水600ml
A12	2100001956103 		泰山純水1500ml
A09	4710312010104 		新鱷魚無香料液體電蚊香重裝45ml
A09	4710312020134 		必安住水性殺蟲液600ml
A09	4710312020066 		必安住殺蟲液600ml
A09	4710084115458 		白熊洗碗精1000g
A12	4710632001172 		悅氏綠茶2L
A12	4710632001622 		悅氏麥茶2L
A12	4710126012035 		義美蛋卷60g-芝麻
A12	4710126012080 		義美蛋卷60g-原味
A12	4710126040595 		義美知心水果軟糖100g-檸檬
A12	4710126040601 		義美知心水果軟糖94.5g-草莓
A12	4710126010062 		義美煎餅100g-花生
A12	4710126022188 		義美夾心酥152g-檸檬
A12	4710126022195 		義美夾心酥152g-花生
A12	4710126022164 		義美夾心酥152g-巧克力
A16	4902806582888 		GATSBY強粘造型噴霧180g
A16	4902806583526 		GATSBY亮麗強粘髮雕露200ml
A16	4710076415061 		美吾髮水雕保濕髮雕露240ml
A12	4710085106943 		金車奧利多150ml(瓶裝)
A09	8850006330012 		高露潔加倍潔淨牙刷
A08	4710347582263 		風神-(5入)黑男免洗襪
A01	4710032501838 		可伶可俐毛孔潔淨洗面露100g
A01	4710032501630 		嬌生LITE清爽潤膚油300ml
A09	4711914937035 		T03-輕巧化妝盒15g2入
A09	4716349008077 		三合一小集合 K-807
A09	4716349080776 		小集合 K-8077
A09	4710186065019 		泡舒洗潔精1000g-檸檬去味清新
A09	8993189210228 		蘇菲彈力貼身超薄潔翼18片日用23cm
A02	45038501 		GATSBY超強力吸油面紙70枚入
A12	4710144201206 		旺旺仙貝家庭號112g
A12	4710144202203 		旺旺雪之月145g
A12	4903316451015 		18)立夢生梅飴85g
A09	9310042238981 		舒酸定長效抗敏牙齦護理牙膏120g
A09	4710367401650 		3M克淋濕防水透氣繃10片
A12	4710022203506 		聯華可樂果48g-酷辣
A12	4710022201403 		聯華可樂果48g-原味
A12	4710022251507 		聯華卡迪那寶卡卡29g-原味
A12	4710022261506 		聯華滿天星洋芋脆片32g
A12	4710022275503 		聯華卡迪那德州薯條38g-茄汁
A09	4713089002013 		皂福衣領皂170g3入
A08	4710347908384 		清秀佳人-四角免洗褲3入-M
A08	4710347908407 		清秀佳人-四角免洗褲3入-L
A08	4710347908421 		清秀佳人-四角免洗褲3入-XL
A08	4710347907387 		風神紳士-四角免洗褲3入-M
A08	4710347907400 		風神紳士-四角免洗褲3入-L
A08	4710347907424 		風神紳士-四角免洗褲3入-XL
A12	47108684 		滋露巧克力21g-奶油
A12	47108707 		滋露巧克力21g-草莓
A12	47108691 		滋露巧克力21g-咖啡
A09	4710094010026 		白蘭鮮彩漂白水2000cc
A16	4902806548600 		必喜麗強粘髮雕225g
A12	4710247005282 		OREO奧利奧三明治餅乾247g-香草
A12	4710247005275 		OREO奧利奧三明治餅乾105g-香草
A01	3052189370990 		BALO嬰兒潤膚油600ml
A09	4716349080455 		藥物攜帶盒K-8045
A09	4716349008213 		活動格收納盒K-821
A09	4710038850466 		毛寶熱水瓶洗淨劑25g*3入
A04	2100002321856 		流行包包6725                    
A15	4713537010553 		上龍 雅德紅酒開瓶器 TL-1055
A15	4713537010539 		上龍 304不銹鋼茶網 錐型
A15	4713537010683 		佳味 原木飯匙
A12	4710085104116 		金車伯朗咖啡240ml
A12	4710085104130 		金車伯朗咖啡(藍山風味)240ml
A12	4710088410191 		統一科學麵(原味)40g
A12	4710088410337 		統一科學麵(香蔥雞汁)40g
A12	4710088411587 		統一來一客杯麵(肉燥菠菜)67g
A12	4710088411594 		統一來一客杯麵63g-鮮蝦魚板
A12	4710088411600 		統一來一客杯麵(牛肉蔬菜)65g
A12	4710088411617 		統一來一客杯麵(川辣牛肉)67g
A09	4711084230608 		奇偉液體鞋油75ml-透明
A15	4713198012804 		醬料瓶280ml
A15	4713198014006 		醬料瓶400ml
A09	4710054134427 		蘇菲立體防漏側邊10片4入日用量多23cm
A15	4710466101055 		妙潔PE保鮮膜30cm×200尺
A15	4710466103028 		妙潔PE袋100入-小
A15	4710466104537 		妙潔平底潔袋新L-45L
A15	4710466104544 		妙潔平底潔袋新M-20L
A15	4710466104551 		妙潔平底潔袋新S-15L
A15	4710466104292 		妙潔捲筒清潔袋-超大SXL-90L
A15	4710466104285 		妙潔捲筒清潔袋-特大XL-70L
A16	4710380010426 		花香5原效洗髮乳1100g鈴蘭花香
A16	4710380010419 		花香5原效洗髮乳1100g茉莉花香
A16	4710380020111 		花香5潤髮乳1100cc
A09	4710731093313 		花仙子衣物防蟲樂360g
A15	4710552061362 		楓康-平底撕取式垃圾袋30張-大63x70cm
